iter	RMSE
2252	0.1801264726
2253	0.1800362879
2254	0.1800339327
2255	0.1799322264
2256	0.1798010632
2257	0.1797334596
2258	0.1796897071
2259	0.1795801835
2260	0.1795012148
2261	0.1794492725
2262	0.1794262455
2263	0.1793621335
2264	0.1792265339
2265	0.1791482097
2266	0.179018559
2267	0.1790166953
2268	0.1789121718
2269	0.1788562469
2270	0.1788103662
2271	0.1787291263
2272	0.1786443461
2273	0.1785496878
2274	0.1784963015
2275	0.1783865783
2276	0.1783693602
2277	0.1783091712
2278	0.1782189336
2279	0.1781709117
2280	0.1780570435
2281	0.1779987944
2282	0.1779385778
2283	0.1778129884
2284	0.1777408344
2285	0.1776719612
2286	0.1776294376
2287	0.1775405348
2288	0.177446823
2289	0.1773171393
2290	0.1772313554
2291	0.1771677255
2292	0.1770516295
2293	0.1769860615
2294	0.1768532705
2295	0.1768033305
2296	0.1767423162
2297	0.1766505139
2298	0.1765889996
2299	0.1765560275
2300	0.1764278648
2301	0.1763310451
2302	0.1762657643
2303	0.1761390149
2304	0.1759903714
2305	0.1758926333
2306	0.1758770188
2307	0.1758089963
2308	0.1757421772
2309	0.1755989542
2310	0.1755959815
2311	0.1754959323
2312	0.1754378973
2313	0.1753558843
2314	0.1752884535
2315	0.1752066121
2316	0.1751052191
2317	0.1749985391
2318	0.1749560301
2319	0.1748684575
2320	0.1747595179
2321	0.1747453561
2322	0.174666611
2323	0.1745511913
2324	0.1745423246
2325	0.174481014
2326	0.1743727831
2327	0.174323718
2328	0.1743162875
2329	0.1742884614
2330	0.1742005172
2331	0.1741395505
2332	0.1740443829
2333	0.1740297891
2334	0.1739218471
2335	0.1738352135
2336	0.1738006493
2337	0.1737203259
2338	0.1736360152
2339	0.1735718553
2340	0.1735233966
2341	0.1733852576
2342	0.1732992723
2343	0.1731631245
2344	0.1730302887
2345	0.172972236
2346	0.1728919881
2347	0.1727784671
2348	0.1726946604
2349	0.1725675112
2350	0.1724414004
2351	0.1723822231
2352	0.1723661399
2353	0.1723117676
2354	0.172240064
2355	0.172169339
2356	0.1720904159
2357	0.172032139
2358	0.1719584384
2359	0.1718748769
2360	0.1718336002
2361	0.1717139844
2362	0.1716091673
2363	0.1715150077
2364	0.171421677
2365	0.1713196841
2366	0.1711884057
2367	0.1711287642
2368	0.1710645998
2369	0.1709494302
2370	0.1708472083
2371	0.1707634331
2372	0.1707621168
2373	0.1707521438
2374	0.1707146524
2375	0.1706082219
2376	0.170581368
2377	0.1704455815
2378	0.1703072434
2379	0.1702183953
2380	0.1701103308
2381	0.170100766
2382	0.1700304373
2383	0.1700055287
2384	0.170004691
2385	0.169897218
2386	0.1698925258
2387	0.1698316828
2388	0.1698288243
2389	0.169768203
2390	0.169713907
2391	0.1696320718
2392	0.1694817205
2393	0.1694179239
2394	0.1693566225
2395	0.1692810171
2396	0.1692501147
2397	0.1691686222
2398	0.1691340874
2399	0.1689925571
2400	0.1689711403
2401	0.1688817683
2402	0.1688789332
2403	0.1688139999
2404	0.1687589382
2405	0.1686816634
2406	0.1685966847
2407	0.1684813419
2408	0.1683865734
2409	0.1683575277
2410	0.1682544374
2411	0.1681461394
2412	0.1680950541
2413	0.1680142798
2414	0.1679410681
2415	0.1678329878
2416	0.1678262625
2417	0.1677454528
2418	0.167632029
2419	0.1675378538
2420	0.1674535719
2421	0.1673674533
2422	0.1673533122
2423	0.1672741365
2424	0.1671507338
2425	0.1670679737
2426	0.1670309812
2427	0.1669843487
2428	0.1669452376
2429	0.1668293877
2430	0.1667263222
2431	0.1666208665
2432	0.1665582532
